age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
34.00,2,2.00,2.00,2.00,2.00,1.00,1.00,3.00,2.00,288.00,2.00,3.00,1.00,3.00,1.00
46.00,8,1.00,6.00,2.00,2.00,2.00,1.00,8.00,2.00,177.00,1.00,999.00,0.00,1.00,2.00
39.00,1,1.00,3.00,2.00,2.00,2.00,1.00,5.00,4.00,155.00,1.00,999.00,0.00,1.00,2.00
41.00,2,3.00,7.00,2.00,2.00,2.00,2.00,7.00,1.00,141.00,1.00,999.00,0.00,1.00,2.00
30.00,10,2.00,6.00,2.00,1.00,2.00,2.00,5.00,1.00,144.00,3.00,999.00,0.00,1.00,2.00
55.00,11,3.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,26.00,3.00,6.00,3.00,3.00,1.00
33.00,1,2.00,3.00,2.00,1.00,2.00,1.00,10.00,5.00,146.00,1.00,999.00,1.00,2.00,2.00
46.00,8,1.00,4.00,2.00,2.00,2.00,1.00,4.00,3.00,325.00,2.00,999.00,0.00,1.00,2.00
38.00,1,3.00,4.00,2.00,1.00,1.00,1.00,11.00,3.00,291.00,1.00,999.00,0.00,1.00,2.00
36.00,2,3.00,2.00,3.00,1.00,1.00,1.00,7.00,3.00,103.00,1.00,999.00,0.00,1.00,2.00
30.00,10,2.00,5.00,2.00,1.00,2.00,1.00,8.00,4.00,61.00,1.00,999.00,0.00,1.00,2.00
34.00,10,2.00,4.00,2.00,2.00,2.00,2.00,6.00,5.00,236.00,7.00,999.00,0.00,1.00,2.00
63.00,6,1.00,3.00,2.00,2.00,2.00,1.00,8.00,4.00,163.00,1.00,999.00,0.00,1.00,2.00
46.00,2,2.00,2.00,2.00,1.00,2.00,1.00,11.00,2.00,1166.00,3.00,999.00,1.00,2.00,2.00
44.00,7,3.00,5.00,2.00,1.00,1.00,1.00,6.00,4.00,134.00,1.00,999.00,1.00,2.00,2.00
55.00,6,1.00,3.00,3.00,1.00,1.00,1.00,8.00,3.00,89.00,1.00,999.00,0.00,1.00,2.00
32.00,2,2.00,2.00,2.00,2.00,2.00,1.00,5.00,5.00,800.00,5.00,999.00,0.00,1.00,2.00
34.00,2,1.00,2.00,2.00,2.00,2.00,1.00,7.00,3.00,266.00,1.00,999.00,0.00,1.00,2.00
33.00,7,1.00,2.00,2.00,2.00,2.00,2.00,5.00,2.00,367.00,5.00,999.00,0.00,1.00,2.00
34.00,1,1.00,1.00,2.00,1.00,2.00,1.00,4.00,5.00,70.00,1.00,999.00,1.00,2.00,2.00
23.00,2,1.00,4.00,2.00,2.00,2.00,1.00,4.00,1.00,297.00,4.00,999.00,0.00,1.00,2.00
39.00,1,1.00,7.00,2.00,2.00,2.00,1.00,5.00,5.00,138.00,1.00,999.00,0.00,1.00,2.00
30.00,10,1.00,2.00,2.00,2.00,2.00,2.00,5.00,5.00,282.00,2.00,999.00,0.00,1.00,2.00
41.00,10,3.00,5.00,2.00,2.00,2.00,1.00,4.00,4.00,774.00,2.00,999.00,1.00,2.00,1.00
55.00,6,1.00,6.00,3.00,1.00,2.00,1.00,8.00,4.00,60.00,4.00,999.00,0.00,1.00,2.00
30.00,2,1.00,2.00,2.00,2.00,2.00,2.00,6.00,5.00,75.00,1.00,999.00,0.00,1.00,2.00
48.00,8,3.00,4.00,2.00,2.00,1.00,1.00,7.00,1.00,88.00,4.00,999.00,0.00,1.00,2.00
36.00,10,2.00,5.00,2.00,1.00,2.00,1.00,8.00,4.00,474.00,1.00,999.00,0.00,1.00,1.00
46.00,7,1.00,3.00,2.00,1.00,1.00,1.00,11.00,2.00,162.00,1.00,999.00,1.00,2.00,2.00
48.00,2,2.00,4.00,2.00,2.00,2.00,1.00,4.00,1.00,223.00,2.00,999.00,0.00,1.00,2.00
36.00,3,1.00,4.00,2.00,1.00,2.00,2.00,6.00,1.00,16.00,4.00,999.00,0.00,1.00,2.00
53.00,7,1.00,2.00,2.00,1.00,2.00,2.00,5.00,3.00,232.00,1.00,999.00,0.00,1.00,2.00
56.00,6,1.00,1.00,2.00,1.00,1.00,2.00,5.00,3.00,71.00,4.00,999.00,0.00,1.00,2.00
48.00,1,1.00,6.00,3.00,3.00,3.00,1.00,8.00,4.00,642.00,3.00,999.00,0.00,1.00,2.00
35.00,1,1.00,1.00,2.00,2.00,2.00,1.00,5.00,5.00,211.00,1.00,999.00,1.00,2.00,2.00
50.00,3,1.00,5.00,3.00,1.00,2.00,1.00,8.00,4.00,293.00,4.00,999.00,0.00,1.00,2.00
32.00,10,2.00,5.00,2.00,1.00,1.00,1.00,4.00,1.00,230.00,1.00,999.00,1.00,2.00,2.00
37.00,10,2.00,2.00,2.00,2.00,2.00,2.00,6.00,1.00,182.00,2.00,999.00,0.00,1.00,2.00
56.00,8,3.00,4.00,3.00,2.00,2.00,2.00,5.00,1.00,154.00,1.00,999.00,0.00,1.00,2.00
35.00,1,2.00,1.00,2.00,1.00,2.00,1.00,7.00,2.00,60.00,6.00,999.00,0.00,1.00,2.00
51.00,1,1.00,3.00,2.00,1.00,2.00,1.00,5.00,3.00,440.00,2.00,999.00,0.00,1.00,1.00
51.00,2,1.00,2.00,2.00,2.00,2.00,1.00,6.00,1.00,297.00,4.00,999.00,0.00,1.00,1.00
44.00,10,3.00,5.00,3.00,1.00,2.00,1.00,4.00,4.00,172.00,2.00,999.00,0.00,1.00,2.00
36.00,1,1.00,1.00,2.00,1.00,2.00,2.00,5.00,1.00,61.00,2.00,999.00,0.00,1.00,2.00
36.00,11,1.00,2.00,2.00,2.00,2.00,1.00,7.00,4.00,616.00,2.00,999.00,0.00,1.00,2.00
47.00,2,2.00,2.00,2.00,2.00,2.00,1.00,8.00,4.00,310.00,3.00,999.00,0.00,1.00,2.00
30.00,10,2.00,5.00,2.00,1.00,2.00,1.00,8.00,5.00,66.00,1.00,999.00,0.00,1.00,2.00
32.00,2,1.00,2.00,2.00,2.00,2.00,1.00,7.00,4.00,46.00,4.00,999.00,0.00,1.00,2.00
39.00,2,1.00,2.00,3.00,1.00,2.00,2.00,7.00,3.00,197.00,4.00,999.00,0.00,1.00,2.00
71.00,6,1.00,5.00,2.00,2.00,2.00,1.00,9.00,5.00,313.00,1.00,999.00,0.00,1.00,2.00
34.00,2,2.00,4.00,2.00,2.00,2.00,1.00,11.00,3.00,347.00,1.00,999.00,0.00,1.00,2.00
32.00,2,2.00,2.00,3.00,3.00,3.00,2.00,5.00,2.00,49.00,1.00,999.00,0.00,1.00,2.00
58.00,8,1.00,3.00,2.00,2.00,2.00,2.00,5.00,5.00,226.00,1.00,999.00,0.00,1.00,2.00
21.00,1,2.00,1.00,2.00,2.00,2.00,1.00,7.00,3.00,219.00,1.00,999.00,0.00,1.00,2.00
39.00,1,1.00,1.00,2.00,1.00,2.00,1.00,5.00,5.00,8.00,6.00,999.00,0.00,1.00,2.00
39.00,3,1.00,4.00,3.00,2.00,1.00,2.00,5.00,3.00,173.00,7.00,999.00,0.00,1.00,2.00
39.00,5,1.00,4.00,2.00,1.00,2.00,1.00,11.00,2.00,84.00,1.00,999.00,0.00,1.00,2.00
45.00,1,1.00,1.00,3.00,2.00,2.00,2.00,5.00,2.00,107.00,2.00,999.00,0.00,1.00,2.00
40.00,2,2.00,4.00,2.00,2.00,2.00,2.00,5.00,2.00,371.00,2.00,999.00,0.00,1.00,2.00
49.00,2,1.00,4.00,2.00,2.00,2.00,1.00,8.00,2.00,15.00,13.00,999.00,0.00,1.00,2.00
48.00,10,2.00,4.00,2.00,1.00,1.00,2.00,5.00,5.00,115.00,2.00,999.00,0.00,1.00,2.00
25.00,2,2.00,4.00,2.00,2.00,2.00,2.00,5.00,2.00,268.00,3.00,999.00,0.00,1.00,2.00
49.00,1,3.00,6.00,3.00,1.00,2.00,1.00,7.00,3.00,284.00,1.00,999.00,0.00,1.00,2.00
33.00,1,2.00,1.00,3.00,2.00,2.00,1.00,5.00,1.00,130.00,3.00,999.00,0.00,1.00,2.00
35.00,8,2.00,1.00,2.00,2.00,2.00,1.00,7.00,5.00,61.00,2.00,999.00,0.00,1.00,2.00
33.00,3,1.00,2.00,2.00,2.00,2.00,1.00,7.00,1.00,611.00,2.00,999.00,0.00,1.00,2.00
36.00,4,1.00,3.00,2.00,2.00,2.00,2.00,6.00,1.00,152.00,2.00,999.00,0.00,1.00,2.00
49.00,2,2.00,4.00,2.00,2.00,2.00,2.00,5.00,2.00,363.00,5.00,999.00,0.00,1.00,2.00
30.00,5,1.00,2.00,2.00,2.00,2.00,1.00,5.00,5.00,67.00,1.00,999.00,1.00,2.00,2.00
77.00,6,1.00,3.00,2.00,3.00,3.00,1.00,7.00,2.00,218.00,2.00,3.00,1.00,3.00,1.00
34.00,5,1.00,2.00,2.00,1.00,2.00,2.00,5.00,5.00,247.00,1.00,999.00,0.00,1.00,2.00
48.00,5,3.00,2.00,3.00,2.00,2.00,1.00,5.00,4.00,33.00,6.00,999.00,0.00,1.00,2.00
44.00,5,1.00,4.00,3.00,2.00,1.00,2.00,7.00,1.00,73.00,5.00,999.00,0.00,1.00,2.00
50.00,11,1.00,5.00,2.00,2.00,2.00,2.00,5.00,4.00,189.00,1.00,999.00,0.00,1.00,2.00
49.00,1,1.00,1.00,3.00,2.00,2.00,1.00,7.00,4.00,134.00,1.00,999.00,0.00,1.00,2.00
28.00,2,2.00,2.00,2.00,2.00,2.00,1.00,8.00,4.00,489.00,5.00,999.00,0.00,1.00,1.00
50.00,1,3.00,1.00,2.00,2.00,2.00,2.00,5.00,5.00,878.00,3.00,999.00,0.00,1.00,2.00
40.00,2,2.00,4.00,2.00,1.00,2.00,1.00,6.00,2.00,154.00,1.00,999.00,1.00,2.00,2.00
48.00,8,1.00,1.00,3.00,2.00,2.00,1.00,5.00,5.00,18.00,8.00,999.00,0.00,1.00,2.00
32.00,10,1.00,2.00,2.00,1.00,1.00,2.00,7.00,4.00,50.00,6.00,999.00,0.00,1.00,2.00
29.00,2,1.00,4.00,2.00,2.00,2.00,2.00,6.00,1.00,255.00,1.00,999.00,0.00,1.00,2.00
29.00,2,2.00,4.00,2.00,1.00,2.00,2.00,5.00,1.00,26.00,1.00,999.00,0.00,1.00,2.00
55.00,3,3.00,2.00,2.00,2.00,2.00,1.00,11.00,5.00,110.00,2.00,999.00,0.00,1.00,2.00
45.00,6,1.00,6.00,3.00,1.00,2.00,2.00,5.00,4.00,56.00,2.00,999.00,0.00,1.00,2.00
52.00,10,3.00,5.00,3.00,1.00,2.00,2.00,6.00,1.00,56.00,8.00,999.00,0.00,1.00,2.00
32.00,10,2.00,2.00,2.00,1.00,2.00,1.00,5.00,3.00,75.00,4.00,999.00,0.00,1.00,2.00
38.00,10,1.00,5.00,3.00,1.00,2.00,2.00,5.00,2.00,153.00,2.00,999.00,0.00,1.00,2.00
33.00,2,2.00,2.00,2.00,1.00,2.00,1.00,10.00,5.00,233.00,1.00,999.00,0.00,1.00,1.00
29.00,10,2.00,5.00,2.00,1.00,2.00,1.00,8.00,4.00,94.00,4.00,999.00,0.00,1.00,2.00
37.00,2,1.00,2.00,2.00,1.00,2.00,1.00,8.00,2.00,198.00,2.00,999.00,0.00,1.00,2.00
80.00,6,1.00,3.00,2.00,1.00,2.00,1.00,3.00,4.00,156.00,1.00,999.00,0.00,1.00,1.00
57.00,5,1.00,2.00,2.00,1.00,2.00,2.00,11.00,5.00,109.00,1.00,999.00,0.00,1.00,2.00
37.00,1,3.00,1.00,2.00,1.00,2.00,2.00,5.00,4.00,604.00,4.00,999.00,0.00,1.00,1.00
40.00,2,1.00,4.00,3.00,2.00,1.00,2.00,5.00,5.00,84.00,3.00,999.00,0.00,1.00,2.00
43.00,8,3.00,6.00,3.00,1.00,1.00,1.00,7.00,2.00,483.00,7.00,999.00,0.00,1.00,2.00
22.00,1,2.00,3.00,2.00,1.00,2.00,2.00,11.00,4.00,16.00,1.00,999.00,0.00,1.00,2.00
41.00,7,1.00,5.00,2.00,1.00,2.00,1.00,5.00,4.00,46.00,1.00,999.00,0.00,1.00,2.00
35.00,1,2.00,7.00,3.00,1.00,2.00,1.00,7.00,1.00,153.00,1.00,999.00,0.00,1.00,2.00
37.00,1,1.00,1.00,3.00,2.00,2.00,2.00,7.00,1.00,179.00,2.00,999.00,0.00,1.00,2.00
44.00,10,3.00,5.00,2.00,1.00,2.00,1.00,5.00,4.00,245.00,3.00,999.00,0.00,1.00,2.00
32.00,1,2.00,4.00,2.00,2.00,2.00,2.00,7.00,4.00,234.00,4.00,999.00,0.00,1.00,2.00
60.00,6,1.00,3.00,3.00,2.00,2.00,1.00,8.00,2.00,332.00,3.00,999.00,0.00,1.00,2.00
36.00,1,1.00,6.00,2.00,1.00,2.00,1.00,5.00,4.00,131.00,1.00,999.00,0.00,1.00,2.00
51.00,2,3.00,2.00,2.00,3.00,3.00,2.00,5.00,3.00,160.00,2.00,999.00,0.00,1.00,2.00
36.00,3,1.00,2.00,2.00,2.00,2.00,2.00,5.00,3.00,386.00,3.00,999.00,0.00,1.00,2.00
46.00,8,1.00,4.00,2.00,1.00,2.00,1.00,4.00,3.00,201.00,2.00,999.00,0.00,1.00,2.00
30.00,5,2.00,2.00,2.00,2.00,2.00,1.00,4.00,3.00,244.00,3.00,999.00,0.00,1.00,2.00
33.00,2,1.00,2.00,2.00,2.00,2.00,1.00,9.00,1.00,369.00,3.00,999.00,0.00,1.00,1.00
36.00,2,1.00,4.00,3.00,1.00,1.00,1.00,5.00,1.00,264.00,1.00,10.00,1.00,3.00,2.00
27.00,11,2.00,1.00,2.00,2.00,2.00,1.00,4.00,5.00,48.00,2.00,999.00,1.00,2.00,2.00
37.00,8,1.00,4.00,3.00,1.00,1.00,2.00,5.00,4.00,73.00,3.00,999.00,0.00,1.00,2.00
50.00,3,1.00,4.00,2.00,1.00,1.00,1.00,5.00,5.00,1326.00,6.00,999.00,1.00,2.00,2.00
37.00,8,1.00,4.00,2.00,1.00,2.00,1.00,5.00,3.00,130.00,1.00,999.00,0.00,1.00,2.00
24.00,10,2.00,2.00,2.00,1.00,2.00,1.00,4.00,4.00,170.00,1.00,999.00,0.00,1.00,2.00
31.00,4,1.00,3.00,2.00,2.00,2.00,2.00,6.00,3.00,91.00,2.00,999.00,0.00,1.00,2.00
30.00,2,2.00,4.00,2.00,1.00,2.00,1.00,5.00,4.00,29.00,8.00,999.00,1.00,2.00,2.00
33.00,2,1.00,4.00,2.00,2.00,2.00,2.00,5.00,3.00,307.00,1.00,999.00,0.00,1.00,2.00
49.00,2,1.00,2.00,2.00,1.00,2.00,1.00,8.00,4.00,260.00,1.00,999.00,0.00,1.00,2.00
49.00,1,1.00,1.00,3.00,1.00,2.00,2.00,5.00,3.00,170.00,2.00,999.00,0.00,1.00,2.00
31.00,10,2.00,4.00,2.00,2.00,2.00,1.00,8.00,2.00,191.00,1.00,999.00,0.00,1.00,2.00
30.00,11,1.00,1.00,2.00,2.00,2.00,1.00,7.00,5.00,154.00,2.00,999.00,0.00,1.00,2.00
29.00,10,1.00,6.00,2.00,1.00,2.00,1.00,7.00,5.00,404.00,1.00,999.00,0.00,1.00,2.00
41.00,10,1.00,5.00,2.00,1.00,1.00,1.00,8.00,5.00,264.00,1.00,999.00,0.00,1.00,2.00
40.00,2,1.00,2.00,2.00,2.00,2.00,1.00,8.00,1.00,23.00,6.00,999.00,0.00,1.00,2.00
41.00,1,3.00,3.00,2.00,1.00,2.00,2.00,6.00,3.00,62.00,1.00,999.00,0.00,1.00,2.00
42.00,1,1.00,1.00,2.00,2.00,2.00,2.00,5.00,1.00,173.00,2.00,999.00,0.00,1.00,2.00
37.00,8,1.00,4.00,2.00,2.00,2.00,2.00,6.00,5.00,115.00,4.00,999.00,0.00,1.00,2.00
34.00,2,1.00,2.00,2.00,1.00,2.00,1.00,5.00,5.00,407.00,3.00,8.00,3.00,2.00,1.00
51.00,8,2.00,7.00,2.00,1.00,2.00,1.00,7.00,5.00,48.00,1.00,999.00,0.00,1.00,2.00
39.00,4,1.00,4.00,2.00,1.00,2.00,2.00,5.00,5.00,61.00,2.00,999.00,0.00,1.00,2.00
33.00,10,3.00,4.00,2.00,2.00,2.00,2.00,5.00,2.00,207.00,1.00,999.00,0.00,1.00,2.00
39.00,1,3.00,4.00,2.00,2.00,2.00,2.00,5.00,1.00,281.00,1.00,999.00,0.00,1.00,2.00
27.00,7,2.00,2.00,2.00,1.00,2.00,2.00,6.00,5.00,244.00,2.00,999.00,0.00,1.00,2.00
36.00,5,2.00,2.00,2.00,2.00,2.00,1.00,7.00,1.00,310.00,5.00,999.00,0.00,1.00,2.00
43.00,7,1.00,2.00,3.00,1.00,1.00,2.00,6.00,3.00,1487.00,1.00,999.00,0.00,1.00,2.00
42.00,7,1.00,2.00,3.00,2.00,1.00,1.00,7.00,1.00,95.00,2.00,999.00,0.00,1.00,2.00
35.00,5,1.00,2.00,2.00,2.00,2.00,1.00,4.00,4.00,375.00,1.00,999.00,0.00,1.00,1.00
28.00,2,2.00,4.00,2.00,1.00,2.00,1.00,3.00,5.00,300.00,1.00,999.00,0.00,1.00,1.00
47.00,1,3.00,1.00,2.00,2.00,1.00,2.00,5.00,5.00,322.00,1.00,999.00,0.00,1.00,2.00
55.00,2,2.00,2.00,3.00,2.00,2.00,1.00,11.00,1.00,142.00,1.00,999.00,0.00,1.00,2.00
34.00,8,1.00,4.00,3.00,2.00,2.00,1.00,5.00,2.00,245.00,5.00,999.00,0.00,1.00,2.00
34.00,1,1.00,3.00,2.00,1.00,2.00,1.00,11.00,2.00,87.00,1.00,999.00,0.00,1.00,2.00
44.00,7,1.00,1.00,3.00,2.00,2.00,1.00,8.00,1.00,136.00,10.00,999.00,0.00,1.00,2.00
39.00,1,1.00,6.00,3.00,2.00,2.00,2.00,7.00,3.00,218.00,2.00,999.00,0.00,1.00,2.00
49.00,8,1.00,4.00,2.00,2.00,2.00,2.00,5.00,3.00,249.00,2.00,999.00,0.00,1.00,2.00
36.00,1,2.00,4.00,3.00,2.00,2.00,2.00,5.00,1.00,90.00,2.00,999.00,0.00,1.00,2.00
37.00,5,1.00,2.00,3.00,2.00,1.00,2.00,6.00,1.00,179.00,7.00,999.00,0.00,1.00,2.00
37.00,2,1.00,2.00,2.00,1.00,2.00,1.00,8.00,2.00,356.00,1.00,999.00,0.00,1.00,2.00
40.00,2,2.00,4.00,2.00,1.00,2.00,1.00,7.00,2.00,635.00,3.00,999.00,0.00,1.00,2.00
59.00,10,1.00,2.00,2.00,2.00,2.00,1.00,10.00,1.00,268.00,1.00,999.00,1.00,2.00,2.00
49.00,1,1.00,3.00,3.00,1.00,2.00,1.00,8.00,5.00,21.00,3.00,999.00,0.00,1.00,2.00
53.00,2,2.00,2.00,2.00,1.00,2.00,1.00,6.00,5.00,304.00,2.00,3.00,1.00,3.00,1.00
57.00,1,1.00,4.00,3.00,2.00,2.00,2.00,6.00,2.00,171.00,3.00,999.00,0.00,1.00,2.00
43.00,10,1.00,7.00,2.00,1.00,2.00,2.00,5.00,3.00,261.00,3.00,999.00,0.00,1.00,2.00
54.00,3,1.00,5.00,2.00,2.00,2.00,1.00,11.00,2.00,1855.00,1.00,999.00,0.00,1.00,1.00
51.00,2,3.00,4.00,2.00,1.00,1.00,1.00,11.00,2.00,334.00,2.00,6.00,4.00,2.00,1.00
35.00,1,3.00,3.00,2.00,1.00,2.00,1.00,7.00,2.00,63.00,1.00,999.00,0.00,1.00,2.00
53.00,2,1.00,2.00,2.00,2.00,2.00,2.00,7.00,5.00,60.00,1.00,999.00,0.00,1.00,2.00
53.00,3,3.00,2.00,2.00,1.00,2.00,1.00,11.00,1.00,68.00,1.00,999.00,0.00,1.00,2.00
34.00,2,3.00,2.00,2.00,1.00,2.00,2.00,7.00,4.00,332.00,3.00,999.00,1.00,2.00,1.00
50.00,4,3.00,4.00,3.00,1.00,2.00,2.00,6.00,3.00,763.00,4.00,999.00,0.00,1.00,2.00
39.00,2,1.00,2.00,3.00,2.00,2.00,1.00,8.00,4.00,144.00,10.00,999.00,0.00,1.00,2.00
27.00,9,2.00,4.00,2.00,1.00,2.00,1.00,5.00,2.00,41.00,1.00,999.00,0.00,1.00,2.00
27.00,5,2.00,2.00,2.00,1.00,2.00,1.00,9.00,2.00,137.00,2.00,4.00,2.00,3.00,2.00
44.00,1,2.00,3.00,2.00,1.00,2.00,2.00,5.00,4.00,106.00,1.00,999.00,0.00,1.00,2.00
29.00,7,1.00,2.00,2.00,2.00,2.00,1.00,11.00,4.00,157.00,2.00,999.00,0.00,1.00,2.00
42.00,1,1.00,3.00,3.00,1.00,2.00,2.00,5.00,5.00,72.00,2.00,999.00,0.00,1.00,2.00
31.00,10,2.00,4.00,2.00,1.00,2.00,1.00,4.00,5.00,596.00,1.00,999.00,1.00,2.00,2.00
29.00,10,1.00,5.00,2.00,2.00,2.00,1.00,7.00,3.00,263.00,2.00,999.00,0.00,1.00,2.00
60.00,6,1.00,2.00,3.00,1.00,2.00,2.00,5.00,5.00,576.00,1.00,999.00,0.00,1.00,2.00
28.00,7,2.00,2.00,2.00,2.00,1.00,1.00,5.00,1.00,315.00,1.00,999.00,0.00,1.00,1.00
28.00,1,1.00,1.00,2.00,1.00,2.00,1.00,5.00,2.00,390.00,1.00,999.00,0.00,1.00,1.00
40.00,8,1.00,4.00,2.00,2.00,2.00,1.00,5.00,3.00,246.00,4.00,999.00,1.00,2.00,2.00
35.00,2,1.00,4.00,2.00,2.00,2.00,2.00,5.00,3.00,15.00,19.00,999.00,0.00,1.00,2.00
36.00,8,2.00,4.00,2.00,2.00,2.00,1.00,7.00,5.00,254.00,2.00,999.00,0.00,1.00,2.00
36.00,1,1.00,7.00,3.00,3.00,3.00,2.00,5.00,1.00,190.00,1.00,999.00,0.00,1.00,2.00
49.00,2,1.00,4.00,2.00,1.00,1.00,1.00,7.00,1.00,263.00,1.00,999.00,0.00,1.00,2.00
47.00,2,1.00,2.00,3.00,2.00,1.00,2.00,5.00,2.00,139.00,2.00,999.00,0.00,1.00,2.00
29.00,2,1.00,2.00,2.00,2.00,1.00,1.00,8.00,4.00,220.00,3.00,999.00,0.00,1.00,2.00
35.00,1,3.00,1.00,2.00,2.00,1.00,2.00,5.00,5.00,192.00,6.00,999.00,0.00,1.00,2.00
33.00,2,1.00,5.00,2.00,2.00,2.00,2.00,6.00,5.00,110.00,4.00,999.00,0.00,1.00,2.00
28.00,8,2.00,4.00,2.00,1.00,2.00,2.00,5.00,1.00,318.00,1.00,999.00,0.00,1.00,2.00
44.00,10,1.00,5.00,2.00,2.00,2.00,2.00,5.00,1.00,754.00,1.00,999.00,0.00,1.00,2.00
34.00,5,2.00,2.00,2.00,2.00,2.00,1.00,7.00,4.00,257.00,2.00,999.00,0.00,1.00,2.00
48.00,2,3.00,4.00,2.00,2.00,2.00,2.00,5.00,4.00,66.00,2.00,999.00,0.00,1.00,2.00
38.00,10,1.00,5.00,2.00,2.00,2.00,2.00,5.00,4.00,436.00,1.00,999.00,0.00,1.00,2.00
39.00,8,1.00,4.00,2.00,2.00,2.00,1.00,7.00,2.00,297.00,1.00,999.00,0.00,1.00,2.00
35.00,1,2.00,3.00,2.00,2.00,2.00,1.00,5.00,5.00,6.00,5.00,999.00,0.00,1.00,2.00
26.00,2,2.00,2.00,2.00,1.00,2.00,1.00,7.00,1.00,200.00,2.00,999.00,0.00,1.00,2.00
48.00,2,1.00,4.00,3.00,1.00,1.00,1.00,7.00,4.00,64.00,1.00,999.00,0.00,1.00,2.00
41.00,1,1.00,1.00,2.00,1.00,1.00,1.00,5.00,1.00,190.00,8.00,999.00,0.00,1.00,2.00
37.00,1,1.00,7.00,3.00,2.00,2.00,1.00,5.00,4.00,635.00,2.00,999.00,0.00,1.00,2.00
38.00,10,2.00,2.00,2.00,1.00,2.00,2.00,6.00,2.00,267.00,1.00,999.00,0.00,1.00,2.00
45.00,1,1.00,3.00,3.00,2.00,1.00,1.00,5.00,2.00,397.00,1.00,999.00,0.00,1.00,2.00
45.00,1,1.00,7.00,3.00,1.00,2.00,1.00,11.00,1.00,696.00,2.00,999.00,0.00,1.00,1.00
36.00,9,2.00,1.00,2.00,1.00,2.00,2.00,6.00,4.00,176.00,1.00,999.00,0.00,1.00,2.00
45.00,1,1.00,3.00,3.00,1.00,1.00,2.00,6.00,2.00,825.00,1.00,999.00,0.00,1.00,2.00
45.00,2,3.00,2.00,2.00,1.00,1.00,1.00,11.00,5.00,69.00,9.00,999.00,0.00,1.00,2.00
35.00,2,3.00,4.00,2.00,1.00,2.00,1.00,5.00,1.00,88.00,1.00,999.00,1.00,2.00,2.00
40.00,1,1.00,3.00,3.00,2.00,2.00,2.00,6.00,1.00,638.00,2.00,999.00,0.00,1.00,2.00
38.00,11,1.00,3.00,3.00,2.00,2.00,1.00,7.00,2.00,195.00,1.00,999.00,0.00,1.00,2.00
39.00,2,1.00,4.00,2.00,1.00,2.00,2.00,4.00,2.00,189.00,1.00,999.00,0.00,1.00,2.00
52.00,4,1.00,7.00,2.00,1.00,2.00,1.00,8.00,5.00,208.00,1.00,999.00,0.00,1.00,2.00
37.00,3,1.00,1.00,2.00,2.00,2.00,1.00,5.00,1.00,277.00,1.00,9.00,1.00,3.00,2.00
33.00,2,2.00,4.00,2.00,1.00,2.00,1.00,10.00,1.00,61.00,2.00,6.00,2.00,2.00,2.00
